part_number,manufacturer,category,description,availability,price,datasheet_url,product_url
63SXV82M,Panasonic,アルミ有機ポリマコンデンサ,アルミ有機ポリマコンデンサ アルミ有機ポリマコンデンサ 63VDC 82uF 20% 25mOhm 930mA,798 在庫,¥474.3,https://www.mouser.com/catalog/specsheets/Panasonic_Capacitor OSCON (SXV Series) 090225.pdf,https://www.mouser.jp/ProductDetail/Panasonic/63SXV82M?qs=PBDs2xEllI9f0jg8ZCh%2Ftw%3D%3D
63SXV150M,Panasonic,アルミ有機ポリマコンデンサ,アルミ有機ポリマコンデンサ アルミ有機ポリマコンデンサ 63VDC 150uF 20% 25mOhm 1030mA,800 在庫,¥599.8,https://www.mouser.com/catalog/specsheets/Panasonic_Capacitor OSCON (SXV Series) 090225.pdf,https://www.mouser.jp/ProductDetail/Panasonic/63SXV150M?qs=PBDs2xEllI9WDicnmIglmg%3D%3D
80SXV56MX,Panasonic,アルミ有機ポリマコンデンサ,アルミ有機ポリマコンデンサ アルミ有機ポリマコンデンサ 80VDC 56uF 20% 35mOhm 780mA,800 在庫,¥479.2,https://www.mouser.com/catalog/specsheets/Panasonic_Capacitor OSCON (SXV Series) 090225.pdf,https://www.mouser.jp/ProductDetail/Panasonic/80SXV56MX?qs=PBDs2xEllI8oYEqM54mrKQ%3D%3D
MAL220216222E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 2200uF 400V 20% 50x105mm 85C 10000h,,"¥14,590.1",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220216222E3?qs=By6Nw2ByBD1joovH0l1dqA%3D%3D
MAL220217102E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 1000uF 450V 20% 50x105mm 85C 10000h,127 在庫,"¥10,485.8",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220217102E3?qs=By6Nw2ByBD2ZB%2Fbt7cL6fA%3D%3D
400AEW240MEFR18X40,Rubycon,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 400VDC 240uF 20% 18x40,198 在庫,"¥1,025.3",,https://www.mouser.jp/ProductDetail/Rubycon/400AEW240MEFR18X40?qs=6avfeC6zeS40IedThVVP0g%3D%3D
PCA1K470MCL1GS,Nichicon,アルミ有機ポリマコンデンサ,アルミ有機ポリマコンデンサ 80VDC 47uF 20% AEC-Q200,1200 在庫,¥557.5,https://www.mouser.com/datasheet/3/497/1/e_pca_1.pdf,https://www.mouser.jp/ProductDetail/Nichicon/PCA1K470MCL1GS?qs=yc9RBI4tIAIah%2FR6%2Fxt%252BhA%3D%3D
MAL220212152E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 1500uF 200V 20% 35x60mm 85C 10000h,164 在庫,"¥5,814.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220212152E3?qs=By6Nw2ByBD37KIGJOGEaGw%3D%3D
865080657018,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLI 220uF 50V 20% SMD/SMT,91766 在庫,¥148.3,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865080657018?qs=0KOYDY2FL28CcgHzg1XTuA%3D%3D
865080545012,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLI 100uF 35V 20% SMD/SMT,593561 在庫,¥57.1,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D
B40950A6207M000,TDK,アルミ有機ポリマコンデンサ,アルミ有機ポリマコンデンサ 200 uF 50 V 10x12.5 SMD,1649 在庫,¥454.8,,https://www.mouser.jp/ProductDetail/TDK/B40950A6207M000?qs=jcD%2FCkGBYePT3SUZ6qySmw%3D%3D
865080663020,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLI 1000uF 50V 20% SMD/SMT,61850 在庫,¥476,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865080663020?qs=0KOYDY2FL28a%252B9ciq6BiMA%3D%3D
865060657012,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLL 220uF 50V 20% SMD/SMT,37789 在庫,¥207,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865060657012?qs=0KOYDY2FL28HhDLlWDQPow%3D%3D
MAL214699107E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 330uF 50V 20%,22934 在庫,¥606.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214699107E3?qs=Ep9Lwju7gVqGQFZeQuJIeQ%3D%3D
MAL214699805E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 100uF 63V 20%,78768 在庫,¥314.6,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214699805E3?qs=Ep9Lwju7gVo8IeaeZkMXmw%3D%3D
MAL212018102E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1000uF 63V 20% Axial,2030 在庫,"¥2,368.4",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL212018102E3?qs=dl6palF0VAduSfv%252BIMDf8w%3D%3D
B43504A9337M,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 330uF 20% PVC STD 6.3mm Term,3579 在庫,"¥1,890.8",,https://www.mouser.jp/ProductDetail/TDK/B43504A9337M?qs=JVlt8SiEC9Pys%2FwaPSWVgQ%3D%3D
B43510B9108M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 1000uF 20% PVC STD 6.3mm Term,581 在庫,"¥5,615.4",,https://www.mouser.jp/ProductDetail/TDK/B43510B9108M000?qs=qNB1lZllYNqyjdMMsETG0A%3D%3D
MAL214699104E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 100uF 50V 20%,42284 在庫,¥337.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214699104E3?qs=Ep9Lwju7gVqvyEnQ0FJ4Qg%3D%3D
