part_number,manufacturer,category,description,availability,price,datasheet_url,product_url,capacitance_uF,voltage_V,tolerance_percent,price_jpy,stock,is_aluminum_electrolytic
MAL220216222E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 2200uF 400V 20% 50x105mm 85C 10000h,,"¥14,590.1",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220216222E3?qs=By6Nw2ByBD1joovH0l1dqA%3D%3D,2200.0,400.0,20.0,14590.1,,True
MAL220217102E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 1000uF 450V 20% 50x105mm 85C 10000h,127 在庫,"¥10,485.8",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220217102E3?qs=By6Nw2ByBD2ZB%2Fbt7cL6fA%3D%3D,1000.0,450.0,20.0,10485.8,127,True
400AEW240MEFR18X40,Rubycon,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 400VDC 240uF 20% 18x40,198 在庫,"¥1,025.3",,https://www.mouser.jp/ProductDetail/Rubycon/400AEW240MEFR18X40?qs=6avfeC6zeS40IedThVVP0g%3D%3D,240.0,400.0,20.0,1025.3,198,True
MAL220212152E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 1500uF 200V 20% 35x60mm 85C 10000h,164 在庫,"¥5,814.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220212152E3?qs=By6Nw2ByBD37KIGJOGEaGw%3D%3D,1500.0,200.0,20.0,5814.2,164,True
865080657018,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLI 220uF 50V 20% SMD/SMT,91766 在庫,¥148.3,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865080657018?qs=0KOYDY2FL28CcgHzg1XTuA%3D%3D,220.0,50.0,20.0,148.3,91766,True
865080545012,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLI 100uF 35V 20% SMD/SMT,593561 在庫,¥57.1,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D,100.0,35.0,20.0,57.1,593561,True
865080663020,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLI 1000uF 50V 20% SMD/SMT,61850 在庫,¥476,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865080663020?qs=0KOYDY2FL28a%252B9ciq6BiMA%3D%3D,1000.0,50.0,20.0,476.0,61850,True
865060657012,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLL 220uF 50V 20% SMD/SMT,37789 在庫,¥207,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865060657012?qs=0KOYDY2FL28HhDLlWDQPow%3D%3D,220.0,50.0,20.0,207.0,37789,True
MAL214699107E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 330uF 50V 20%,22934 在庫,¥606.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214699107E3?qs=Ep9Lwju7gVqGQFZeQuJIeQ%3D%3D,330.0,50.0,20.0,606.4,22934,True
MAL214699805E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 100uF 63V 20%,78768 在庫,¥314.6,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214699805E3?qs=Ep9Lwju7gVo8IeaeZkMXmw%3D%3D,100.0,63.0,20.0,314.6,78768,True
MAL212018102E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1000uF 63V 20% Axial,2030 在庫,"¥2,368.4",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL212018102E3?qs=dl6palF0VAduSfv%252BIMDf8w%3D%3D,1000.0,63.0,20.0,2368.4,2030,True
B43504A9337M,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 330uF 20% PVC STD 6.3mm Term,3579 在庫,"¥1,890.8",,https://www.mouser.jp/ProductDetail/TDK/B43504A9337M?qs=JVlt8SiEC9Pys%2FwaPSWVgQ%3D%3D,330.0,400.0,20.0,1890.8,3579,True
B43510B9108M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 1000uF 20% PVC STD 6.3mm Term,581 在庫,"¥5,615.4",,https://www.mouser.jp/ProductDetail/TDK/B43510B9108M000?qs=qNB1lZllYNqyjdMMsETG0A%3D%3D,1000.0,400.0,20.0,5615.4,581,True
MAL214699104E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 100uF 50V 20%,42284 在庫,¥337.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214699104E3?qs=Ep9Lwju7gVqvyEnQ0FJ4Qg%3D%3D,100.0,50.0,20.0,337.4,42284,True
MAL220215222E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 2200uF 350V 20% 50x105mm 85C 10000h,134 在庫,"¥12,326.1",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220215222E3?qs=By6Nw2ByBD0dfaPwvK6NEg%3D%3D,2200.0,350.0,20.0,12326.1,134,True
MAL215097101E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD Very Low Z SMD (Chip) Aluminum Electrolytic Capacitor,108325 在庫,¥308.1,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215097101E3?qs=qmStTZH4TzkwnTxnKiPZ5g%3D%3D,,,,308.1,108325,True
ALH82A820CB550,KEMET,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 550 Volt 82 uF 105C,563 在庫,"¥1,444.2",https://www.mouser.com/datasheet/3/72/1/KEM_A4119_ALH82.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALH82A820CB550?qs=IPgv5n7u5Qalh9RRsNiQTw%3D%3D,82.0,,,1444.2,563,True
MAL215099103E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 220uF 50V 20%,115483 在庫,¥435.2,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215099103E3?qs=9y2YoPkPyvaNNuuD%252BAyF3g%3D%3D,220.0,50.0,20.0,435.2,115483,True
MAL220212222E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 2200uF 200V 20% 35x105mm 85C 10000h,257 在庫,"¥6,961.7",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL220212222E3?qs=By6Nw2ByBD3w4vuL8KZHnA%3D%3D,2200.0,200.0,20.0,6961.7,257,True
MAL214658221E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 220uF 63V 12.5x20mm 125C 3000h,918 在庫,¥480.9,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214658221E3?qs=oD%252BgjdMRx%252BXnrn2EiBUpTg%3D%3D,220.0,63.0,,480.9,918,True
REA1626330M450B,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 450V 33uF 1626 330mA,1498 在庫,¥316.2,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1626330M450B?qs=Y0Uzf4wQF3m5qJWL79THaQ%3D%3D,33.0,450.0,,316.2,1498,True
REA1832680M450B,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 450V 68uF 1832 500mA,1108 在庫,¥547.7,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1832680M450B?qs=Y0Uzf4wQF3kNQWpw%2FH%252BR4w%3D%3D,68.0,450.0,,547.7,1108,True
MAL225953221E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 220uF 250V 20% 105C 3000H 22x30mm,1563 在庫,¥979.6,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL225953221E3?qs=r5DSvlrkXmICmqlC7bmYeg%3D%3D,220.0,250.0,20.0,979.6,1563,True
MAL204311221E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 85C,823 在庫,"¥1,369.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL204311221E3?qs=G99oyVYclWVkV6ihJ7LmIw%3D%3D,,,,1369.2,823,True
